7 5
2.4
13.041 12.795 8.571 11.308 2.984
19.863 3.552 3.744 8.331 1.487
3.209 10.113 11.591 0.305 11.328
5.789 2.453 14.594 17.023 6.903
14.112 10.498 5.986 3.208 4.214
7.854 19.538 1.744 9.838 7.457
4.748 7.701 0.944 4.250 6.485
0.390 3.850 3.204 14.129 10.204
9.571 0.883 6.716 5.791 11.310
9.190 1.621 8.850 1.614 19.726
10.358 7.465 0.077 14.294 8.739
0.769 0.055 7.148 10.035 4.522
0.912 8.803 16.187 27.125 15.381
1.751 16.959 3.477 1.033 1.990
6.787 9.376 21.042 9.880 5.054
0.241 10.752 1.846 7.268 6.479
1.242 6.430 11.021 23.127 6.872
4.890 19.376 1.545 9.658 1.271
18.250 10.382 4.851 0.854 15.647
0.913 8.297 14.910 4.120 5.827
3.471 3.819 11.087 5.032 10.662
3.929 4.886 10.361 13.078 11.743
18.899 1.128 9.599 4.489 17.500
0.299 12.797 10.110 4.320 6.503
2.849 3.743 14.959 13.734 0.974
14.383 3.567 9.206 0.981 7.234
10.351 1.451 3.282 6.869 6.221
2.267 3.214 9.995 18.115 9.100
16.139 4.836 9.047 6.784 5.940
7.151 16.450 3.920 4.758 2.188
7.856 4.774 9.372 0.349 2.342
6.721 15.821 2.349 5.532 15.020
0.997 13.084 13.567 0.211 0.378
23.127 5.498 13.354 6.357 2.596
14.877 5.429 6.466 10.439 2.772
6.671 5.492 5.307 2.600 1.890
0.333 6.871 11.441 5.808 11.822
9.036 3.625 11.293 14.377 24.277
12.524 15.610 5.701 3.717 5.823
0.977 9.995 7.823 3.191 33.777
6.720 14.187 6.184 4.285 8.138
16.518 4.572 8.530 5.109 9.362
9.278 11.384 7.287 8.129 15.038
0.383 6.265 4.679 2.501 6.205
10.773 9.900 7.376 1.138 6.407
9.304 6.275 8.331 16.037 7.316
13.133 0.255 0.893 2.059 14.305
5.702 13.219 13.377 4.223 5.328
6.855 9.741 4.016 0.038 6.271
0.539 0.390 5.742 11.245 10.313
0.415 9.358 11.645 7.243 12.294
8.463 21.537 4.580 9.704 3.243
14.506 4.353 13.923 3.812 16.255
14.002 0.817 14.001 9.779 21.279
10.570 9.217 1.987 17.768 2.482
12.635 7.901 11.314 0.346 9.973
9.212 14.787 6.274 14.723 15.075
2.768 9.669 1.578 7.925 5.084
20.038 14.376 7.978 5.023 7.583
4.567 11.752 10.107 15.443 4.256
23.689 6.212 8.998 5.523 2.220
25.461 0.804 0.397 14.421 24.869
11.572 5.082 10.630 11.091 2.421
1.383 16.456 19.107 1.825 13.470
3.105 6.932 2.311 1.822 14.300
22.718 8.102 5.690 3.498 12.826
5.307 9.305 0.049 12.074 8.722
14.965 1.516 0.705 6.184 4.327
2.176 1.034 7.804 2.823 7.086
10.332 1.067 19.064 14.265 2.772
0.529 7.563 4.364 9.636 4.278
2.371 9.059 6.005 10.957 7.728
10.321 15.774 3.561 6.405 4.102
8.147 0.046 5.287 2.974 11.638
29.300 20.474 4.460 12.954 6.362
4.953 2.795 3.107 1.170 17.195
12.747 5.558 0.080 0.288 7.019
8.989 6.364 11.969 14.385 5.036
15.106 10.104 9.313 9.544 13.335
4.585 27.652 5.055 6.675 10.115
1.443 8.201 9.054 2.230 5.698
2.701 7.519 1.708 14.732 6.999
3.668 5.687 1.742 2.381 2.566
4.542 7.910 2.550 17.327 0.105
18.711 16.656 12.385 7.210 8.790
7.940 5.683 14.275 8.037 2.060
10.821 5.366 6.947 2.551 14.760
3.248 21.666 1.524 7.420 4.029
22.814 8.925 13.878 3.880 4.082
3.983 3.216 8.115 16.409 16.062
2.448 0.566 7.265 11.102 7.313
10.848 0.308 14.946 8.028 19.787
3.210 13.119 15.726 7.664 14.222
2.022 4.133 6.416 5.954 9.685
10.052 22.338 8.850 10.353 4.552
7.079 6.787 3.751 6.011 2.143
3.607 10.717 4.088 2.851 0.948
2.451 4.058 2.809 8.948 15.545
3.126 9.600 8.837 10.402 1.528
2.907 14.327 3.622 0.513 5.994
8.304 1.637 6.549 10.862 7.851
2.176 1.492 0.519 3.998 5.802
1.698 3.129 2.446 9.123 24.523
14.704 5.282 7.512 1.225 13.040
10.091 12.809 13.642 5.032 4.775
3.585 5.335 8.995 3.194 12.264
2.659 2.107 6.709 10.067 10.361
1.812 3.767 3.107 0.768 6.396
11.292 12.228 22.168 10.788 1.237
29.187 15.011 1.339 4.681 9.906
8.302 7.066 7.422 1.999 2.561
4.791 10.373 15.548 18.306 5.949
10.337 6.427 27.848 7.680 14.756
0.917 1.696 9.924 14.437 17.141
11.962 9.851 5.168 0.937 1.949
12.168 0.428 17.096 0.710 14.638
11.754 3.232 6.476 12.124 16.708
21.483 11.828 5.487 5.695 6.210
7.893 0.618 12.613 7.106 15.675
3.131 5.610 1.567 2.265 2.004
11.062 9.690 20.610 0.975 21.531
13.450 2.941 21.614 0.226 2.869
12.757 12.653 4.470 16.634 12.426
6.782 12.493 0.339 5.922 5.276
1.576 14.297 11.438 1.304 4.091
0.820 4.342 9.624 3.755 19.048
6.580 1.881 9.691 0.920 12.939
15.148 3.126 5.477 16.029 1.525
